Sample,Sweetness,Sourness,Creaminess,Thickness,FruityAroma,Astringency,OffFlavour
Y01,7.71,1.77,8.53,8.16,1.63,0.59,1.09
Y02,7.28,2.49,7.4,8.12,3.54,1.55,1.79
Y03,7.83,1.9,8.26,6.83,3.61,1.47,0.87
Y04,7.02,3.36,7.89,7.2,2.75,1.87,1.26
Y05,7.79,2.8,9.5,7.22,2.64,0.93,1.43
Y06,8.29,2.42,7.41,6.92,3.46,2.02,1.38
Y07,7.03,2.66,8.08,7.65,3.61,1.66,1.48
Y08,7.55,2.7,8.44,6.48,2.78,1.17,0.55
Y09,3.81,8.05,3.39,4.18,6.32,3.77,1.61
Y10,4.41,7.5,4.56,3.26,7.18,4.6,1.37
Y11,3.11,6.21,3.36,3.85,7.6,4.48,1.2
Y12,4.11,7.44,3.78,3.82,7.04,3.75,1.23
Y13,3.16,7.34,3.67,3.51,7.84,4.31,1.97
Y14,3.93,6.7,3.94,2.32,6.49,3.07,0.8
Y15,4.28,6.37,3.74,4.41,7.25,4.52,0.85
Y16,3.86,6.33,3.76,4.09,6.29,4.3,1.67
Y17,2.08,4.49,3.05,3.63,1.66,3.02,3.12
Y18,2.33,4.78,3.13,4.15,2.45,3.58,2.25
Y19,3.52,4.67,2.55,3.35,1.23,2.04,2.44
Y20,2.34,4.47,2.29,4.22,2.09,4.4,4.04
Y21,2.79,4.81,1.51,4.19,0.93,2.71,1.57
Y22,2.4,6.25,3.11,3.89,0.78,1.83,1.66
Y23,2.46,6.74,3.09,4.69,1.15,2.17,1.32
Y24,1.99,6.99,2.43,4.59,0.87,3.65,2.27
